CustomerKey,Prefix,FirstName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,AnnualIncome,TotalChildren,EducationLevel,Occupation,HomeOwNoer
11000,MR.,JON,YANG,04/08/1966,M,Male,jon24@phoenixanalytic.co.ke,90000,2,Bachelors,Professional,Yes
11001,MR.,EUGENE,HUANG,5/14/1965,S,Male,eugene10@phoenixanalytic.co.ke,60000,3,Bachelors,Professional,No
11002,MR.,RUBEN,TORRES,08/12/1965,M,Male,ruben35@phoenixanalytic.co.ke,60000,3,Bachelors,Professional,Yes
11003,MS.,CHRISTY,ZHU,2/15/1968,S,Female,christy12@phoenixanalytic.co.ke,70000,0,Bachelors,Professional,No
11004,MRS.,ELIZABETH,JOHNSON,08/08/1968,S,Female,elizabeth5@phoenixanalytic.co.ke,80000,5,Bachelors,Professional,Yes
11005,MR.,JULIO,RUIZ,08/05/1965,S,Male,julio1@phoenixanalytic.co.ke,70000,0,Bachelors,Professional,Yes
11007,MR.,MARCO,MEHTA,05/09/1964,M,Male,marco14@phoenixanalytic.co.ke,60000,3,Bachelors,Professional,Yes
11008,MRS.,ROBIN,VERHOFF,07/07/1964,S,Female,rob4@phoenixanalytic.co.ke,60000,4,Bachelors,Professional,Yes
11009,MR.,SHANNON,CARLSON,04/01/1964,S,Male,shannon38@phoenixanalytic.co.ke,70000,0,Bachelors,Professional,No
11010,MS.,JACQUELYN,SUAREZ,02/06/1964,S,Female,jacquelyn20@phoenixanalytic.co.ke,70000,0,Bachelors,Professional,No
11011,MR.,CURTIS,LU,11/04/1963,M,Male,curtis9@phoenixanalytic.co.ke,60000,4,Bachelors,Professional,Yes
11012,MRS.,LAUREN,WALKER,1/18/1968,M,Female,lauren41@phoenixanalytic.co.ke,100000,2,Bachelors,Management,Yes
11013,MR.,IAN,JENKINS,08/06/1968,M,Male,ian47@phoenixanalytic.co.ke,100000,2,Bachelors,Management,Yes
11014,MRS.,SYDNEY,BENNETT,05/09/1968,S,Female,sydney23@phoenixanalytic.co.ke,100000,3,Bachelors,Management,No
11015,MS.,CHLOE,YOUNG,2/27/1979,S,Female,chloe23@phoenixanalytic.co.ke,30000,0,Partial College,Skilled Manual,No
11016,MR.,WYATT,HILL,4/28/1979,M,Male,wyatt32@phoenixanalytic.co.ke,30000,0,Partial College,Skilled Manual,Yes
11017,MRS.,SHANNON,WANG,6/26/1944,S,Female,shannon1@phoenixanalytic.co.ke,20000,4,High School,Skilled Manual,Yes
11018,MR.,CLARENCE,RAI,10/09/1944,S,Male,clarence32@phoenixanalytic.co.ke,30000,2,Partial College,Clerical,Yes
11019,MR.,LUKE,LAL,03/07/1978,S,Male,luke18@phoenixanalytic.co.ke,40000,0,High School,Skilled Manual,No
11020,MR.,JORDAN,KING,9/20/1978,S,Male,jordan73@phoenixanalytic.co.ke,40000,0,High School,Skilled Manual,No
11021,MS.,DESTINY,WILSON,09/03/1978,S,Female,destiny7@phoenixanalytic.co.ke,40000,0,Partial College,Skilled Manual,No
11022,MR.,ETHAN,ZHANG,10/12/1978,M,Male,ethan20@phoenixanalytic.co.ke,40000,0,Partial College,Skilled Manual,Yes
11023,MR.,SETH,EDWARDS,10/11/1978,M,Male,seth46@phoenixanalytic.co.ke,40000,0,Partial College,Skilled Manual,Yes
11024,MR.,RUSSELL,XIE,9/17/1978,M,Male,russell7@phoenixanalytic.co.ke,60000,0,Partial College,Skilled Manual,Yes
11025,,ALEJANDRO,BECK,12/23/1945,M,NA,alejandro45@phoenixanalytic.co.ke,10000,2,Partial High School,Clerical,Yes
11026,MR.,HAROLD,SAI,04/03/1946,S,Male,harold3@phoenixanalytic.co.ke,30000,2,Partial College,Clerical,No
11027,MR.,JESSIE,ZHAO,12/07/1946,M,Male,jessie16@phoenixanalytic.co.ke,30000,2,Partial College,Clerical,Yes
11028,MRS.,JILL,JIMENEZ,04/11/1946,M,Female,jill13@phoenixanalytic.co.ke,30000,2,Partial College,Clerical,Yes
11029,MR.,JIMMY,MORENO,12/21/1946,M,Male,jimmy9@phoenixanalytic.co.ke,30000,2,Partial College,Clerical,Yes
11030,MRS.,BETHANY,YUAN,2/22/1947,M,Female,bethany10@phoenixanalytic.co.ke,10000,2,Partial High School,Clerical,Yes
11031,MRS.,THERESA,RAMOS,8/22/1947,M,Female,theresa13@phoenixanalytic.co.ke,20000,4,High School,Skilled Manual,Yes
11032,MRS.,DENISE,STONE,06/11/1947,M,Female,denise10@phoenixanalytic.co.ke,20000,4,High School,Skilled Manual,Yes
11033,MR.,JAIME,NATH,9/23/1947,M,Male,jaime41@phoenixanalytic.co.ke,20000,4,High School,Skilled Manual,Yes
11034,MRS.,EBONY,GONZALEZ,6/19/1947,M,Female,ebony19@phoenixanalytic.co.ke,20000,4,High School,Skilled Manual,Yes
11035,,WENDY,DOMINGUEZ,2/24/1948,M,NA,wendy12@phoenixanalytic.co.ke,10000,2,Partial High School,Clerical,Yes
11036,MS.,JENNIFER,RUSSELL,12/18/1978,M,Female,jennifer93@phoenixanalytic.co.ke,60000,0,Partial College,Skilled Manual,Yes
11037,MS.,CHLOE,GARCIA,11/27/1977,S,Female,chloe27@phoenixanalytic.co.ke,40000,0,Partial High School,Clerical,No
11038,MRS.,DIANA,HERNANDEZ,3/23/1948,M,Female,diana2@phoenixanalytic.co.ke,10000,2,Partial High School,Clerical,Yes
11039,MR.,MARC,MARTIN,12/17/1948,M,Male,marc3@phoenixanalytic.co.ke,30000,3,Partial College,Clerical,Yes
11040,MR.,JESSE,MURPHY,08/01/1977,M,Male,jesse15@phoenixanalytic.co.ke,30000,0,Partial College,Skilled Manual,Yes
11041,MS.,AMANDA,CARTER,10/16/1977,M,Female,amanda53@phoenixanalytic.co.ke,60000,0,Partial College,Skilled Manual,Yes
11042,MS.,MEGAN,SANCHEZ,6/13/1977,M,Female,megan28@phoenixanalytic.co.ke,70000,0,Partial College,Skilled Manual,Yes
11043,MR.,NATHAN,SIMMONS,2/24/1976,M,Male,nathan11@phoenixanalytic.co.ke,60000,0,Partial College,Skilled Manual,Yes
11044,MR.,ADAM,FLORES,5/24/1949,M,Male,adam10@phoenixanalytic.co.ke,20000,2,Partial High School,Clerical,Yes
11045,MR.,LEONARD,NARA,5/19/1950,S,Male,leonard18@phoenixanalytic.co.ke,30000,3,High School,Skilled Manual,No
11046,MRS.,CHRISTINE,YUAN,3/22/1950,M,Female,christine4@phoenixanalytic.co.ke,30000,3,High School,Skilled Manual,Yes
11047,MRS.,JACLYN,LU,2/27/1950,M,Female,jaclyn12@phoenixanalytic.co.ke,30000,3,High School,Skilled Manual,No
